Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
75.81,164633,768,-210732,-886626,-2402936,-7507583,-1368359,-7452737,396466,-767899,-108588,-142562,245481,75.73,193872,770,-203158,-869803,-2354333,-7441536,-1324215,-7374514,393287,-743466,-74706,-146617,242565
75.81,132643,768,-230499,-915903,-2460964,-7575375,-1419522,-7529890,393082,-801820,-141575,-150093,245415,75.73,176420,770,-215305,-891871,-2409420,-7508575,-1373255,-7453553,395885,-772460,-102987,-143189,245752
75.81,107010,768,-246615,-941570,-2511019,-7639015,-1466084,-7608288,391704,-832076,-170145,-153683,246064,75.73,144488,770,-235735,-918776,-2466182,-7575330,-1422915,-7531159,393023,-807886,-137156,-149767,245690
75.81,312988,768,-112568,-766968,-2284647,-7401692,-1236375,-7356163,437867,-634606,40598,-54129,262506,75.73,118825,770,-248539,-944436,-2515580,-7637409,-1468310,-7603633,392049,-836442,-165613,-152088,246598
75.82,511161,768,13319,-595769,-2033152,-7127485,-987708,-7056647,472715,-436545,248999,24064,272173,75.73,323574,770,-112584,-765746,-2289769,-7399503,-1235474,-7348817,438106,-637478,46656,-52811,263140
75.82,522736,768,17787,-583363,-1989428,-7071038,-949233,-6988485,467301,-419148,264521,15263,267924,75.74,521791,770,11688,-592105,-2037519,-7123954,-987290,-7049164,473084,-440474,256560,24522,272935
75.82,545062,768,30511,-562921,-1947583,-7018618,-913787,-6927720,468230,-397830,285694,16678,267751,75.74,539833,770,14537,-582467,-1995372,-7069063,-952225,-6985279,467381,-421090,270172,13765,268375
75.82,569794,768,45224,-540046,-1903158,-6961439,-871327,-6860995,470202,-371384,310038,20092,267462,75.74,547459,770,19242,-573538,-1970423,-7037984,-932683,-6947949,466323,-411911,278758,11852,267335
75.82,440899,768,-42241,-650794,-2038134,-7103706,-1012763,-7009634,439048,-497023,176678,-46358,255606,75.74,579064,770,39881,-540856,-1914790,-6971176,-880233,-6872460,471060,-376857,312504,20245,268256
75.83,228210,768,-178104,-835068,-2297694,-7384550,-1270966,-7312898,398666,-706051,-45518,-133861,243676,75.74,449126,770,-47260,-652944,-2047349,-7106394,-1017261,-7011741,438640,-501579,178383,-47325,256015
75.83,177031,768,-201772,-876885,-2381808,-7483023,-1349779,-7424582,397636,-757295,-96082,-138513,246135,75.75,236346,770,-181697,-835721,-2305824,-7386753,-1275816,-7315618,398764,-709841,-41061,-134070,244174
75.83,151375,768,-216429,-902498,-2431929,-7544397,-1393466,-7496643,396381,-783009,-122721,-141604,246661,75.75,188735,770,-205400,-874562,-2385559,-7481931,-1350981,-7424412,398502,-757060,-90726,-137703,246943
75.83,103146,768,-247568,-945963,-2508248,-7633226,-1463974,-7597007,388812,-832952,-175440,-158067,245196,75.75,162076,770,-220928,-900341,-2436982,-7546272,-1397419,-7498608,396846,-785213,-119176,-142442,247247
75.83,253478,768,-145068,-818748,-2353303,-7474828,-1304579,-7431476,425900,-691358,-21245,-80804,259107,75.75,113706,770,-251817,-943549,-2510653,-7633155,-1465920,-7597718,389741,-833705,-167994,-158485,245706
75.84,470748,768,-8485,-633278,-2089896,-7187200,-1042688,-7121641,466474,-479727,204444,7434,271278,75.75,266000,770,-152031,-813356,-2351212,-7474183,-1303525,-7430658,426504,-689326,-13277,-81124,259641
